,Unnamed: 0,geo_name,date,vessel_type,num_ships
13,13,Port Klang,2020-03-13,Cargo,4
14,14,Port Klang,2020-03-09,Tanker,1
15,15,Port Klang,2020-03-16,Cargo,2
16,16,Port Klang,2020-03-28,Tanker,4
17,17,Port Klang,2020-03-30,Cargo,1
18,18,Port Klang,2020-03-09,Cargo,5
19,19,Port Klang,2020-03-05,Tanker,1
20,20,Port Klang,2020-03-21,Cargo,2
21,21,Port Klang,2020-03-08,Cargo,1
22,22,Port Klang,2020-03-04,Cargo,4
23,23,Port Klang,2020-03-18,Cargo,5
24,24,Port Klang,2020-03-24,Tanker,1
25,25,Port Klang,2020-03-22,Cargo,1
26,26,Port Klang,2020-03-07,Tanker,2
27,27,Port Klang,2020-03-27,Tanker,1
28,28,Port Klang,2020-03-30,Tanker,1
29,29,Port Klang,2020-03-29,Tanker,2
30,30,Port Klang,2020-03-28,Cargo,3
31,31,Port Klang,2020-03-02,Cargo,5
32,32,Port Klang,2020-03-05,Cargo,3
33,33,Port Klang,2020-03-31,Cargo,3
34,34,Port Klang,2020-03-03,Cargo,2
35,35,Port Klang,2020-03-27,Cargo,1
36,36,Port Klang,2020-03-13,Tanker,2
37,37,Port Klang,2020-03-04,Tanker,3
38,38,Port Klang,2020-03-24,Cargo,1
39,39,Port Klang,2020-03-20,Cargo,1
40,40,Port Klang,2020-03-17,Cargo,1
41,41,Port Klang,2020-03-07,Cargo,3
42,42,Port Klang,2020-03-11,Cargo,4
43,43,Port Klang,2020-03-10,Cargo,1
0,0,Port Klang,2020-04-01,Cargo,3
1,1,Port Klang,2020-04-04,Cargo,1
2,2,Port Klang,2020-04-07,Cargo,1
3,3,Port Klang,2020-04-07,Tanker,1
4,4,Port Klang,2020-04-04,Tanker,1
5,5,Port Klang,2020-04-19,Cargo,1
6,6,Port Klang,2020-04-08,Tanker,1
7,7,Port Klang,2020-04-27,Tanker,1
8,8,Port Klang,2020-04-11,Tanker,1
9,9,Port Klang,2020-04-26,Tanker,1
10,10,Port Klang,2020-04-27,Cargo,1
11,11,Port Klang,2020-04-20,Cargo,1
12,12,Port Klang,2020-04-13,Tanker,1
13,13,Port Klang,2020-04-25,Tanker,1
14,14,Port Klang,2020-04-03,Cargo,1
0,0,Port Klang,2020-05-12,Cargo,1
1,1,Port Klang,2020-05-16,Cargo,4
2,2,Port Klang,2020-05-25,Cargo,1
3,3,Port Klang,2020-05-28,Tanker,3
4,4,Port Klang,2020-05-18,Tanker,4
5,5,Port Klang,2020-05-15,Tanker,2
6,6,Port Klang,2020-05-19,Cargo,4
7,7,Port Klang,2020-05-05,Cargo,1
8,8,Port Klang,2020-05-11,Cargo,1
9,9,Port Klang,2020-05-21,Tanker,1
10,10,Port Klang,2020-05-24,Tanker,2
11,11,Port Klang,2020-05-26,Tanker,1
12,12,Port Klang,2020-05-17,Cargo,3
13,13,Port Klang,2020-05-31,Cargo,2
14,14,Port Klang,2020-05-14,Cargo,2
15,15,Port Klang,2020-05-06,Cargo,1
16,16,Port Klang,2020-05-25,Tanker,1
17,17,Port Klang,2020-05-28,Cargo,3
18,18,Port Klang,2020-05-27,Cargo,4
19,19,Port Klang,2020-05-31,Tanker,2
20,20,Port Klang,2020-05-08,Tanker,1
21,21,Port Klang,2020-05-26,Cargo,2
22,22,Port Klang,2020-05-23,Tanker,2
23,23,Port Klang,2020-05-15,Cargo,2
24,24,Port Klang,2020-05-22,Cargo,1
25,25,Port Klang,2020-05-27,Tanker,1
26,26,Port Klang,2020-05-08,Cargo,2
27,27,Port Klang,2020-05-17,Tanker,1
28,28,Port Klang,2020-05-18,Cargo,1
29,29,Port Klang,2020-05-30,Cargo,1
30,30,Port Klang,2020-05-13,Cargo,1
31,31,Port Klang,2020-05-22,Tanker,4
32,32,Port Klang,2020-05-11,Tanker,1
33,33,Port Klang,2020-05-01,Cargo,1
34,34,Port Klang,2020-05-10,Cargo,1
35,35,Port Klang,2020-05-19,Tanker,1
36,36,Port Klang,2020-05-24,Cargo,1
37,37,Port Klang,2020-05-14,Tanker,1
38,38,Port Klang,2020-05-30,Tanker,5
39,39,Port Klang,2020-05-20,Tanker,1
40,40,Port Klang,2020-05-16,Tanker,1
41,41,Port Klang,2020-05-10,Tanker,1
0,0,Port Klang,2020-06-10,Tanker,1
1,1,Port Klang,2020-06-24,Tanker,1
2,2,Port Klang,2020-06-11,Tanker,1
3,3,Port Klang,2020-06-28,Cargo,1
4,4,Port Klang,2020-06-29,Tanker,2
5,5,Port Klang,2020-06-20,Cargo,2
6,6,Port Klang,2020-06-30,Cargo,4
7,7,Port Klang,2020-06-10,Cargo,1
8,8,Port Klang,2020-06-13,Cargo,1
9,9,Port Klang,2020-06-04,Tanker,1
10,10,Port Klang,2020-06-22,Tanker,1
11,11,Port Klang,2020-06-04,Cargo,4
12,12,Port Klang,2020-06-13,Tanker,1
13,13,Port Klang,2020-06-11,Cargo,2
14,14,Port Klang,2020-06-15,Tanker,1
15,15,Port Klang,2020-06-12,Cargo,2
16,16,Port Klang,2020-06-03,Tanker,4
17,17,Port Klang,2020-06-19,Cargo,2
18,18,Port Klang,2020-06-05,Tanker,4
19,19,Port Klang,2020-06-16,Cargo,1
20,20,Port Klang,2020-06-26,Tanker,1
21,21,Port Klang,2020-06-01,Tanker,2
22,22,Port Klang,2020-06-12,Tanker,1
23,23,Port Klang,2020-06-25,Cargo,3
24,24,Port Klang,2020-06-02,Tanker,5
25,25,Port Klang,2020-06-23,Tanker,4
26,26,Port Klang,2020-06-23,Cargo,1
27,27,Port Klang,2020-06-24,Cargo,2
28,28,Port Klang,2020-06-06,Tanker,4
29,29,Port Klang,2020-06-06,Cargo,3
30,30,Port Klang,2020-06-09,Cargo,3
31,31,Port Klang,2020-06-03,Cargo,1
32,32,Port Klang,2020-06-27,Cargo,2
33,33,Port Klang,2020-06-07,Cargo,4
34,34,Port Klang,2020-06-27,Tanker,1
