,geo_name,date,vessel_type,num_ships
0,Tanjung Pelepas Port,2020-08-05,Tanker,2
1,Tanjung Pelepas Port,2020-08-28,Cargo,4
2,Tanjung Pelepas Port,2020-08-11,Cargo,4
3,Tanjung Pelepas Port,2020-08-07,Tanker,1
4,Tanjung Pelepas Port,2020-08-31,Tanker,3
5,Tanjung Pelepas Port,2020-08-12,Tanker,2
6,Tanjung Pelepas Port,2020-08-19,Tanker,2
7,Tanjung Pelepas Port,2020-08-09,Cargo,2
8,Tanjung Pelepas Port,2020-08-10,Tanker,1
9,Tanjung Pelepas Port,2020-08-22,Tanker,3
10,Tanjung Pelepas Port,2020-08-08,Cargo,3
11,Tanjung Pelepas Port,2020-08-31,Cargo,2
12,Tanjung Pelepas Port,2020-08-04,Cargo,2
13,Tanjung Pelepas Port,2020-08-05,Cargo,5
14,Tanjung Pelepas Port,2020-08-29,Tanker,2
15,Tanjung Pelepas Port,2020-08-26,Tanker,1
16,Tanjung Pelepas Port,2020-08-30,Tanker,2
17,Tanjung Pelepas Port,2020-08-07,Cargo,4
18,Tanjung Pelepas Port,2020-08-16,Cargo,4
19,Tanjung Pelepas Port,2020-08-16,Tanker,1
20,Tanjung Pelepas Port,2020-08-01,Cargo,6
21,Tanjung Pelepas Port,2020-08-23,Cargo,2
22,Tanjung Pelepas Port,2020-08-02,Tanker,4
23,Tanjung Pelepas Port,2020-08-01,Tanker,3
24,Tanjung Pelepas Port,2020-08-18,Tanker,3
25,Tanjung Pelepas Port,2020-08-29,Cargo,6
26,Tanjung Pelepas Port,2020-08-26,Cargo,5
27,Tanjung Pelepas Port,2020-08-21,Cargo,2
28,Tanjung Pelepas Port,2020-08-20,Cargo,2
29,Tanjung Pelepas Port,2020-08-15,Tanker,2
30,Tanjung Pelepas Port,2020-08-03,Tanker,2
31,Tanjung Pelepas Port,2020-08-22,Cargo,2
32,Tanjung Pelepas Port,2020-08-03,Cargo,4
33,Tanjung Pelepas Port,2020-08-25,Cargo,4
34,Tanjung Pelepas Port,2020-08-24,Cargo,2
35,Tanjung Pelepas Port,2020-08-06,Cargo,2
36,Tanjung Pelepas Port,2020-08-27,Cargo,4
37,Tanjung Pelepas Port,2020-08-23,Tanker,3
38,Tanjung Pelepas Port,2020-08-18,Cargo,2
39,Tanjung Pelepas Port,2020-08-14,Cargo,2
40,Tanjung Pelepas Port,2020-08-15,Cargo,1
41,Tanjung Pelepas Port,2020-08-25,Tanker,1
42,Tanjung Pelepas Port,2020-08-19,Cargo,1
43,Tanjung Pelepas Port,2020-08-08,Tanker,4
44,Tanjung Pelepas Port,2020-08-11,Tanker,2
45,Tanjung Pelepas Port,2020-08-14,Tanker,3
46,Tanjung Pelepas Port,2020-08-12,Cargo,4
47,Tanjung Pelepas Port,2020-08-20,Tanker,2
48,Tanjung Pelepas Port,2020-08-02,Cargo,4
49,Tanjung Pelepas Port,2020-08-30,Cargo,8
50,Tanjung Pelepas Port,2020-08-09,Tanker,1
51,Tanjung Pelepas Port,2020-08-10,Cargo,3
52,Tanjung Pelepas Port,2020-08-17,Cargo,4
53,Tanjung Pelepas Port,2020-08-13,Tanker,1
54,Tanjung Pelepas Port,2020-08-27,Tanker,3
