,geo_name,date,vessel_type,num_ships
0,Port Klang,2020-12-02,Cargo,2
1,Port Klang,2020-12-30,Tanker,2
2,Port Klang,2020-12-06,Cargo,1
3,Port Klang,2020-12-30,Cargo,2
4,Port Klang,2020-12-12,Cargo,1
5,Port Klang,2020-12-22,Tanker,1
6,Port Klang,2020-12-17,Tanker,1
7,Port Klang,2020-12-28,Tanker,2
8,Port Klang,2020-12-23,Tanker,1
9,Port Klang,2020-12-22,Cargo,1
10,Port Klang,2020-12-28,Cargo,2
11,Port Klang,2020-12-20,Cargo,1
12,Port Klang,2020-12-27,Tanker,1
13,Port Klang,2020-12-26,Tanker,2
14,Port Klang,2020-12-27,Cargo,2
15,Port Klang,2020-12-24,Tanker,1
16,Port Klang,2020-12-04,Cargo,1
17,Port Klang,2020-12-03,Tanker,1
18,Port Klang,2020-12-07,Cargo,1
19,Port Klang,2020-12-31,Cargo,1
20,Port Klang,2020-12-10,Tanker,1
21,Port Klang,2020-12-25,Cargo,2
22,Port Klang,2020-12-29,Tanker,3
23,Port Klang,2020-12-25,Tanker,3
