,geo_name,date,vessel_type,num_ships
0,Tanjung Pelepas Port,2020-03-06,Cargo,7
1,Tanjung Pelepas Port,2020-03-07,Tanker,2
2,Tanjung Pelepas Port,2020-03-12,Cargo,3
3,Tanjung Pelepas Port,2020-03-11,Cargo,3
4,Tanjung Pelepas Port,2020-03-17,Cargo,2
5,Tanjung Pelepas Port,2020-03-05,Tanker,1
6,Tanjung Pelepas Port,2020-03-26,Tanker,3
7,Tanjung Pelepas Port,2020-03-31,Cargo,5
8,Tanjung Pelepas Port,2020-03-01,Cargo,2
9,Tanjung Pelepas Port,2020-03-24,Tanker,3
10,Tanjung Pelepas Port,2020-03-21,Tanker,1
11,Tanjung Pelepas Port,2020-03-15,Tanker,3
12,Tanjung Pelepas Port,2020-03-26,Cargo,4
13,Tanjung Pelepas Port,2020-03-16,Tanker,3
14,Tanjung Pelepas Port,2020-03-13,Tanker,2
15,Tanjung Pelepas Port,2020-03-29,Cargo,4
16,Tanjung Pelepas Port,2020-03-16,Cargo,3
17,Tanjung Pelepas Port,2020-03-08,Cargo,2
18,Tanjung Pelepas Port,2020-03-21,Cargo,4
19,Tanjung Pelepas Port,2020-03-02,Cargo,3
20,Tanjung Pelepas Port,2020-03-09,Cargo,4
21,Tanjung Pelepas Port,2020-03-20,Cargo,2
22,Tanjung Pelepas Port,2020-03-28,Cargo,9
23,Tanjung Pelepas Port,2020-03-18,Cargo,4
24,Tanjung Pelepas Port,2020-03-24,Cargo,5
25,Tanjung Pelepas Port,2020-03-13,Cargo,2
26,Tanjung Pelepas Port,2020-03-19,Tanker,1
27,Tanjung Pelepas Port,2020-03-17,Tanker,1
28,Tanjung Pelepas Port,2020-03-12,Tanker,2
29,Tanjung Pelepas Port,2020-03-19,Cargo,3
30,Tanjung Pelepas Port,2020-03-14,Tanker,3
31,Tanjung Pelepas Port,2020-03-10,Tanker,1
32,Tanjung Pelepas Port,2020-03-03,Tanker,4
33,Tanjung Pelepas Port,2020-03-02,Tanker,3
34,Tanjung Pelepas Port,2020-03-28,Tanker,3
35,Tanjung Pelepas Port,2020-03-27,Tanker,1
36,Tanjung Pelepas Port,2020-03-14,Cargo,4
37,Tanjung Pelepas Port,2020-03-25,Cargo,4
38,Tanjung Pelepas Port,2020-03-03,Cargo,5
39,Tanjung Pelepas Port,2020-03-15,Cargo,3
40,Tanjung Pelepas Port,2020-03-10,Cargo,1
41,Tanjung Pelepas Port,2020-03-29,Tanker,3
42,Tanjung Pelepas Port,2020-03-08,Tanker,4
43,Tanjung Pelepas Port,2020-03-23,Cargo,3
44,Tanjung Pelepas Port,2020-03-27,Cargo,5
45,Tanjung Pelepas Port,2020-03-18,Tanker,2
46,Tanjung Pelepas Port,2020-03-01,Tanker,4
47,Tanjung Pelepas Port,2020-03-05,Cargo,1
48,Tanjung Pelepas Port,2020-03-04,Cargo,4
49,Tanjung Pelepas Port,2020-03-30,Cargo,2
50,Tanjung Pelepas Port,2020-03-22,Cargo,4
51,Tanjung Pelepas Port,2020-03-07,Cargo,3
52,Tanjung Pelepas Port,2020-03-09,Tanker,5
53,Tanjung Pelepas Port,2020-03-04,Tanker,3
54,Tanjung Pelepas Port,2020-03-30,Tanker,3
55,Tanjung Pelepas Port,2020-03-25,Tanker,2
56,Tanjung Pelepas Port,2020-03-06,Tanker,2
