,geo_name,date,vessel_type,num_ships
0,Tanjung Pelepas Port,2020-09-26,Cargo,6
1,Tanjung Pelepas Port,2020-09-06,Cargo,8
2,Tanjung Pelepas Port,2020-09-10,Tanker,1
3,Tanjung Pelepas Port,2020-09-27,Tanker,6
4,Tanjung Pelepas Port,2020-09-06,Tanker,1
5,Tanjung Pelepas Port,2020-09-18,Tanker,9
6,Tanjung Pelepas Port,2020-09-05,Cargo,5
7,Tanjung Pelepas Port,2020-09-13,Cargo,5
8,Tanjung Pelepas Port,2020-09-12,Cargo,4
9,Tanjung Pelepas Port,2020-09-24,Tanker,8
10,Tanjung Pelepas Port,2020-09-29,Tanker,8
11,Tanjung Pelepas Port,2020-09-07,Cargo,4
12,Tanjung Pelepas Port,2020-09-10,Cargo,2
13,Tanjung Pelepas Port,2020-09-28,Cargo,12
14,Tanjung Pelepas Port,2020-09-26,Tanker,7
15,Tanjung Pelepas Port,2020-09-18,Cargo,12
16,Tanjung Pelepas Port,2020-09-08,Tanker,3
17,Tanjung Pelepas Port,2020-09-25,Tanker,5
18,Tanjung Pelepas Port,2020-09-17,Cargo,8
19,Tanjung Pelepas Port,2020-09-09,Tanker,1
20,Tanjung Pelepas Port,2020-09-09,Cargo,4
21,Tanjung Pelepas Port,2020-09-14,Tanker,1
22,Tanjung Pelepas Port,2020-09-04,Cargo,5
23,Tanjung Pelepas Port,2020-09-17,Tanker,4
24,Tanjung Pelepas Port,2020-09-24,Cargo,10
25,Tanjung Pelepas Port,2020-09-07,Tanker,3
26,Tanjung Pelepas Port,2020-09-04,Tanker,4
27,Tanjung Pelepas Port,2020-09-27,Cargo,13
28,Tanjung Pelepas Port,2020-09-30,Cargo,10
29,Tanjung Pelepas Port,2020-09-23,Cargo,8
30,Tanjung Pelepas Port,2020-09-15,Tanker,2
31,Tanjung Pelepas Port,2020-09-08,Cargo,4
32,Tanjung Pelepas Port,2020-09-16,Cargo,4
33,Tanjung Pelepas Port,2020-09-22,Tanker,6
34,Tanjung Pelepas Port,2020-09-05,Tanker,3
35,Tanjung Pelepas Port,2020-09-15,Cargo,5
36,Tanjung Pelepas Port,2020-09-11,Tanker,3
37,Tanjung Pelepas Port,2020-09-19,Tanker,10
38,Tanjung Pelepas Port,2020-09-12,Tanker,5
39,Tanjung Pelepas Port,2020-09-23,Tanker,8
40,Tanjung Pelepas Port,2020-09-01,Tanker,4
41,Tanjung Pelepas Port,2020-09-03,Tanker,4
42,Tanjung Pelepas Port,2020-09-02,Tanker,2
43,Tanjung Pelepas Port,2020-09-01,Cargo,4
44,Tanjung Pelepas Port,2020-09-02,Cargo,4
45,Tanjung Pelepas Port,2020-09-14,Cargo,5
46,Tanjung Pelepas Port,2020-09-11,Cargo,3
47,Tanjung Pelepas Port,2020-09-19,Cargo,7
48,Tanjung Pelepas Port,2020-09-21,Cargo,6
49,Tanjung Pelepas Port,2020-09-20,Cargo,7
50,Tanjung Pelepas Port,2020-09-25,Cargo,7
51,Tanjung Pelepas Port,2020-09-30,Tanker,7
52,Tanjung Pelepas Port,2020-09-22,Cargo,11
53,Tanjung Pelepas Port,2020-09-20,Tanker,7
54,Tanjung Pelepas Port,2020-09-28,Tanker,7
55,Tanjung Pelepas Port,2020-09-21,Tanker,6
56,Tanjung Pelepas Port,2020-09-03,Cargo,3
57,Tanjung Pelepas Port,2020-09-29,Cargo,12
