,geo_name,date,vessel_type,num_ships
0,Tanjung Pelepas Port,2020-12-11,Cargo,7
1,Tanjung Pelepas Port,2020-12-27,Tanker,7
2,Tanjung Pelepas Port,2020-12-08,Cargo,5
3,Tanjung Pelepas Port,2020-12-03,Tanker,1
4,Tanjung Pelepas Port,2020-12-05,Cargo,4
5,Tanjung Pelepas Port,2020-12-18,Cargo,4
6,Tanjung Pelepas Port,2020-12-24,Cargo,11
7,Tanjung Pelepas Port,2020-12-30,Cargo,9
8,Tanjung Pelepas Port,2020-12-04,Tanker,3
9,Tanjung Pelepas Port,2020-12-19,Tanker,5
10,Tanjung Pelepas Port,2020-12-02,Cargo,4
11,Tanjung Pelepas Port,2020-12-29,Tanker,8
12,Tanjung Pelepas Port,2020-12-28,Tanker,4
13,Tanjung Pelepas Port,2020-12-21,Cargo,9
14,Tanjung Pelepas Port,2020-12-25,Tanker,8
15,Tanjung Pelepas Port,2020-12-26,Tanker,6
16,Tanjung Pelepas Port,2020-12-07,Tanker,3
17,Tanjung Pelepas Port,2020-12-13,Tanker,5
18,Tanjung Pelepas Port,2020-12-29,Cargo,11
19,Tanjung Pelepas Port,2020-12-26,Cargo,7
20,Tanjung Pelepas Port,2020-12-09,Tanker,3
21,Tanjung Pelepas Port,2020-12-12,Cargo,8
22,Tanjung Pelepas Port,2020-12-28,Cargo,8
23,Tanjung Pelepas Port,2020-12-16,Tanker,5
24,Tanjung Pelepas Port,2020-12-20,Tanker,8
25,Tanjung Pelepas Port,2020-12-25,Cargo,7
26,Tanjung Pelepas Port,2020-12-06,Tanker,1
27,Tanjung Pelepas Port,2020-12-17,Cargo,9
28,Tanjung Pelepas Port,2020-12-18,Tanker,6
29,Tanjung Pelepas Port,2020-12-12,Tanker,7
30,Tanjung Pelepas Port,2020-12-08,Tanker,1
31,Tanjung Pelepas Port,2020-12-23,Tanker,10
32,Tanjung Pelepas Port,2020-12-14,Tanker,2
33,Tanjung Pelepas Port,2020-12-15,Tanker,9
34,Tanjung Pelepas Port,2020-12-07,Cargo,2
35,Tanjung Pelepas Port,2020-12-10,Cargo,2
36,Tanjung Pelepas Port,2020-12-06,Cargo,4
37,Tanjung Pelepas Port,2020-12-09,Cargo,4
38,Tanjung Pelepas Port,2020-12-04,Cargo,5
39,Tanjung Pelepas Port,2020-12-30,Tanker,6
40,Tanjung Pelepas Port,2020-12-16,Cargo,9
41,Tanjung Pelepas Port,2020-12-10,Tanker,1
42,Tanjung Pelepas Port,2020-12-14,Cargo,6
43,Tanjung Pelepas Port,2020-12-21,Tanker,4
44,Tanjung Pelepas Port,2020-12-20,Cargo,6
45,Tanjung Pelepas Port,2020-12-03,Cargo,4
46,Tanjung Pelepas Port,2020-12-31,Tanker,6
47,Tanjung Pelepas Port,2020-12-01,Cargo,2
48,Tanjung Pelepas Port,2020-12-23,Cargo,10
49,Tanjung Pelepas Port,2020-12-27,Cargo,5
50,Tanjung Pelepas Port,2020-12-05,Tanker,1
51,Tanjung Pelepas Port,2020-12-24,Tanker,6
52,Tanjung Pelepas Port,2020-12-11,Tanker,4
53,Tanjung Pelepas Port,2020-12-22,Cargo,6
54,Tanjung Pelepas Port,2020-12-17,Tanker,4
55,Tanjung Pelepas Port,2020-12-01,Tanker,1
56,Tanjung Pelepas Port,2020-12-22,Tanker,3
57,Tanjung Pelepas Port,2020-12-15,Cargo,9
58,Tanjung Pelepas Port,2020-12-13,Cargo,10
59,Tanjung Pelepas Port,2020-12-31,Cargo,9
60,Tanjung Pelepas Port,2020-12-19,Cargo,6
