,geo_name,date,vessel_type,num_ships
0,Tanjung Pelepas Port,2020-04-14,Tanker,3
1,Tanjung Pelepas Port,2020-04-29,Cargo,4
2,Tanjung Pelepas Port,2020-04-22,Tanker,3
3,Tanjung Pelepas Port,2020-04-06,Cargo,4
4,Tanjung Pelepas Port,2020-04-19,Tanker,6
5,Tanjung Pelepas Port,2020-04-25,Cargo,3
6,Tanjung Pelepas Port,2020-04-12,Tanker,2
7,Tanjung Pelepas Port,2020-04-07,Cargo,4
8,Tanjung Pelepas Port,2020-04-11,Cargo,5
9,Tanjung Pelepas Port,2020-04-24,Cargo,3
10,Tanjung Pelepas Port,2020-04-23,Cargo,2
11,Tanjung Pelepas Port,2020-04-08,Tanker,1
12,Tanjung Pelepas Port,2020-04-20,Cargo,2
13,Tanjung Pelepas Port,2020-04-06,Tanker,1
14,Tanjung Pelepas Port,2020-04-15,Tanker,1
15,Tanjung Pelepas Port,2020-04-13,Tanker,3
16,Tanjung Pelepas Port,2020-04-21,Cargo,2
17,Tanjung Pelepas Port,2020-04-08,Cargo,2
18,Tanjung Pelepas Port,2020-04-29,Tanker,2
19,Tanjung Pelepas Port,2020-04-01,Cargo,2
20,Tanjung Pelepas Port,2020-04-26,Tanker,3
21,Tanjung Pelepas Port,2020-04-27,Cargo,1
22,Tanjung Pelepas Port,2020-04-04,Cargo,3
23,Tanjung Pelepas Port,2020-04-05,Cargo,1
24,Tanjung Pelepas Port,2020-04-14,Cargo,1
25,Tanjung Pelepas Port,2020-04-05,Tanker,1
26,Tanjung Pelepas Port,2020-04-19,Cargo,3
27,Tanjung Pelepas Port,2020-04-23,Tanker,2
28,Tanjung Pelepas Port,2020-04-13,Cargo,2
29,Tanjung Pelepas Port,2020-04-28,Tanker,2
30,Tanjung Pelepas Port,2020-04-24,Tanker,2
31,Tanjung Pelepas Port,2020-04-09,Tanker,1
32,Tanjung Pelepas Port,2020-04-10,Tanker,1
33,Tanjung Pelepas Port,2020-04-07,Tanker,2
34,Tanjung Pelepas Port,2020-04-16,Cargo,2
35,Tanjung Pelepas Port,2020-04-30,Tanker,6
36,Tanjung Pelepas Port,2020-04-17,Cargo,2
37,Tanjung Pelepas Port,2020-04-01,Tanker,2
38,Tanjung Pelepas Port,2020-04-17,Tanker,1
39,Tanjung Pelepas Port,2020-04-04,Tanker,2
40,Tanjung Pelepas Port,2020-04-03,Cargo,3
41,Tanjung Pelepas Port,2020-04-28,Cargo,1
42,Tanjung Pelepas Port,2020-04-27,Tanker,3
43,Tanjung Pelepas Port,2020-04-16,Tanker,2
44,Tanjung Pelepas Port,2020-04-12,Cargo,2
45,Tanjung Pelepas Port,2020-04-18,Cargo,4
46,Tanjung Pelepas Port,2020-04-10,Cargo,4
47,Tanjung Pelepas Port,2020-04-20,Tanker,4
48,Tanjung Pelepas Port,2020-04-02,Cargo,2
49,Tanjung Pelepas Port,2020-04-02,Tanker,1
50,Tanjung Pelepas Port,2020-04-25,Tanker,3
51,Tanjung Pelepas Port,2020-04-21,Tanker,1
52,Tanjung Pelepas Port,2020-04-11,Tanker,3
53,Tanjung Pelepas Port,2020-04-15,Cargo,3
54,Tanjung Pelepas Port,2020-04-03,Tanker,3
55,Tanjung Pelepas Port,2020-04-30,Cargo,2
56,Tanjung Pelepas Port,2020-04-09,Cargo,1
57,Tanjung Pelepas Port,2020-04-26,Cargo,4
