,geo_name,date,vessel_type,num_ships
0,Tanjung Pelepas Port,2020-10-14,Tanker,3
1,Tanjung Pelepas Port,2020-10-07,Cargo,9
2,Tanjung Pelepas Port,2020-10-29,Tanker,8
3,Tanjung Pelepas Port,2020-10-23,Cargo,7
4,Tanjung Pelepas Port,2020-10-27,Tanker,8
5,Tanjung Pelepas Port,2020-10-05,Tanker,11
6,Tanjung Pelepas Port,2020-10-17,Cargo,8
7,Tanjung Pelepas Port,2020-10-06,Tanker,5
8,Tanjung Pelepas Port,2020-10-20,Tanker,4
9,Tanjung Pelepas Port,2020-10-19,Cargo,8
10,Tanjung Pelepas Port,2020-10-20,Cargo,11
11,Tanjung Pelepas Port,2020-10-12,Cargo,7
12,Tanjung Pelepas Port,2020-10-13,Cargo,8
13,Tanjung Pelepas Port,2020-10-24,Cargo,8
14,Tanjung Pelepas Port,2020-10-22,Tanker,6
15,Tanjung Pelepas Port,2020-10-15,Cargo,11
16,Tanjung Pelepas Port,2020-10-27,Cargo,10
17,Tanjung Pelepas Port,2020-10-21,Tanker,7
18,Tanjung Pelepas Port,2020-10-03,Tanker,11
19,Tanjung Pelepas Port,2020-10-01,Tanker,7
20,Tanjung Pelepas Port,2020-10-14,Cargo,7
21,Tanjung Pelepas Port,2020-10-26,Tanker,8
22,Tanjung Pelepas Port,2020-10-17,Tanker,8
23,Tanjung Pelepas Port,2020-10-03,Cargo,9
24,Tanjung Pelepas Port,2020-10-10,Tanker,6
25,Tanjung Pelepas Port,2020-10-15,Tanker,8
26,Tanjung Pelepas Port,2020-10-04,Cargo,10
27,Tanjung Pelepas Port,2020-10-28,Tanker,8
28,Tanjung Pelepas Port,2020-10-01,Cargo,7
29,Tanjung Pelepas Port,2020-10-23,Tanker,10
30,Tanjung Pelepas Port,2020-10-09,Cargo,9
31,Tanjung Pelepas Port,2020-10-25,Cargo,9
32,Tanjung Pelepas Port,2020-10-07,Tanker,5
33,Tanjung Pelepas Port,2020-10-21,Cargo,7
34,Tanjung Pelepas Port,2020-10-04,Tanker,8
35,Tanjung Pelepas Port,2020-10-30,Cargo,5
36,Tanjung Pelepas Port,2020-10-18,Tanker,11
37,Tanjung Pelepas Port,2020-10-30,Tanker,4
38,Tanjung Pelepas Port,2020-10-08,Tanker,5
39,Tanjung Pelepas Port,2020-10-31,Tanker,7
40,Tanjung Pelepas Port,2020-10-11,Cargo,5
41,Tanjung Pelepas Port,2020-10-02,Tanker,5
42,Tanjung Pelepas Port,2020-10-26,Cargo,10
43,Tanjung Pelepas Port,2020-10-06,Cargo,8
44,Tanjung Pelepas Port,2020-10-22,Cargo,9
45,Tanjung Pelepas Port,2020-10-24,Tanker,5
46,Tanjung Pelepas Port,2020-10-29,Cargo,9
47,Tanjung Pelepas Port,2020-10-09,Tanker,10
48,Tanjung Pelepas Port,2020-10-28,Cargo,7
49,Tanjung Pelepas Port,2020-10-08,Cargo,5
50,Tanjung Pelepas Port,2020-10-13,Tanker,4
51,Tanjung Pelepas Port,2020-10-19,Tanker,7
52,Tanjung Pelepas Port,2020-10-10,Cargo,8
53,Tanjung Pelepas Port,2020-10-16,Tanker,8
54,Tanjung Pelepas Port,2020-10-12,Tanker,6
55,Tanjung Pelepas Port,2020-10-18,Cargo,9
56,Tanjung Pelepas Port,2020-10-25,Tanker,10
57,Tanjung Pelepas Port,2020-10-16,Cargo,10
58,Tanjung Pelepas Port,2020-10-11,Tanker,5
59,Tanjung Pelepas Port,2020-10-31,Cargo,13
60,Tanjung Pelepas Port,2020-10-05,Cargo,6
61,Tanjung Pelepas Port,2020-10-02,Cargo,8
