,geo_name,date,vessel_type,num_ships
0,Tanjung Pelepas Port,2020-07-20,Cargo,4
1,Tanjung Pelepas Port,2020-07-16,Tanker,5
2,Tanjung Pelepas Port,2020-07-06,Cargo,2
3,Tanjung Pelepas Port,2020-07-04,Tanker,3
4,Tanjung Pelepas Port,2020-07-24,Cargo,6
5,Tanjung Pelepas Port,2020-07-05,Tanker,2
6,Tanjung Pelepas Port,2020-07-07,Tanker,2
7,Tanjung Pelepas Port,2020-07-11,Tanker,4
8,Tanjung Pelepas Port,2020-07-19,Tanker,4
9,Tanjung Pelepas Port,2020-07-17,Tanker,2
10,Tanjung Pelepas Port,2020-07-01,Tanker,2
11,Tanjung Pelepas Port,2020-07-20,Tanker,3
12,Tanjung Pelepas Port,2020-07-26,Tanker,4
13,Tanjung Pelepas Port,2020-07-21,Cargo,1
14,Tanjung Pelepas Port,2020-07-08,Cargo,3
15,Tanjung Pelepas Port,2020-07-06,Tanker,5
16,Tanjung Pelepas Port,2020-07-12,Tanker,2
17,Tanjung Pelepas Port,2020-07-12,Cargo,5
18,Tanjung Pelepas Port,2020-07-27,Cargo,3
19,Tanjung Pelepas Port,2020-07-01,Cargo,2
20,Tanjung Pelepas Port,2020-07-14,Cargo,3
21,Tanjung Pelepas Port,2020-07-23,Tanker,3
22,Tanjung Pelepas Port,2020-07-17,Cargo,6
23,Tanjung Pelepas Port,2020-07-14,Tanker,1
24,Tanjung Pelepas Port,2020-07-02,Tanker,5
25,Tanjung Pelepas Port,2020-07-28,Cargo,2
26,Tanjung Pelepas Port,2020-07-04,Cargo,4
27,Tanjung Pelepas Port,2020-07-26,Cargo,7
28,Tanjung Pelepas Port,2020-07-05,Cargo,3
29,Tanjung Pelepas Port,2020-07-30,Cargo,1
30,Tanjung Pelepas Port,2020-07-15,Cargo,4
31,Tanjung Pelepas Port,2020-07-16,Cargo,2
32,Tanjung Pelepas Port,2020-07-13,Cargo,4
33,Tanjung Pelepas Port,2020-07-22,Cargo,1
34,Tanjung Pelepas Port,2020-07-31,Cargo,2
35,Tanjung Pelepas Port,2020-07-18,Cargo,1
36,Tanjung Pelepas Port,2020-07-03,Tanker,4
37,Tanjung Pelepas Port,2020-07-15,Tanker,2
38,Tanjung Pelepas Port,2020-07-30,Tanker,1
39,Tanjung Pelepas Port,2020-07-25,Cargo,4
40,Tanjung Pelepas Port,2020-07-18,Tanker,3
41,Tanjung Pelepas Port,2020-07-09,Cargo,2
42,Tanjung Pelepas Port,2020-07-07,Cargo,3
43,Tanjung Pelepas Port,2020-07-25,Tanker,2
44,Tanjung Pelepas Port,2020-07-11,Cargo,5
45,Tanjung Pelepas Port,2020-07-23,Cargo,1
46,Tanjung Pelepas Port,2020-07-31,Tanker,2
47,Tanjung Pelepas Port,2020-07-27,Tanker,4
48,Tanjung Pelepas Port,2020-07-10,Cargo,4
49,Tanjung Pelepas Port,2020-07-08,Tanker,2
50,Tanjung Pelepas Port,2020-07-22,Tanker,3
51,Tanjung Pelepas Port,2020-07-29,Cargo,2
52,Tanjung Pelepas Port,2020-07-28,Tanker,2
53,Tanjung Pelepas Port,2020-07-10,Tanker,2
54,Tanjung Pelepas Port,2020-07-09,Tanker,2
55,Tanjung Pelepas Port,2020-07-24,Tanker,4
56,Tanjung Pelepas Port,2020-07-03,Cargo,2
57,Tanjung Pelepas Port,2020-07-19,Cargo,4
58,Tanjung Pelepas Port,2020-07-29,Tanker,1
