,geo_name,date,vessel_type,num_ships
0,Tanjung Pelepas Port,2020-06-10,Cargo,5
1,Tanjung Pelepas Port,2020-06-29,Tanker,1
2,Tanjung Pelepas Port,2020-06-07,Cargo,8
3,Tanjung Pelepas Port,2020-06-23,Cargo,4
4,Tanjung Pelepas Port,2020-06-13,Cargo,5
5,Tanjung Pelepas Port,2020-06-09,Cargo,4
6,Tanjung Pelepas Port,2020-06-27,Tanker,2
7,Tanjung Pelepas Port,2020-06-08,Tanker,3
8,Tanjung Pelepas Port,2020-06-03,Cargo,4
9,Tanjung Pelepas Port,2020-06-30,Tanker,1
10,Tanjung Pelepas Port,2020-06-12,Tanker,1
11,Tanjung Pelepas Port,2020-06-28,Tanker,3
12,Tanjung Pelepas Port,2020-06-24,Cargo,2
13,Tanjung Pelepas Port,2020-06-14,Tanker,1
14,Tanjung Pelepas Port,2020-06-19,Tanker,1
15,Tanjung Pelepas Port,2020-06-04,Cargo,2
16,Tanjung Pelepas Port,2020-06-01,Tanker,5
17,Tanjung Pelepas Port,2020-06-23,Tanker,4
18,Tanjung Pelepas Port,2020-06-21,Tanker,2
19,Tanjung Pelepas Port,2020-06-25,Tanker,2
20,Tanjung Pelepas Port,2020-06-29,Cargo,4
21,Tanjung Pelepas Port,2020-06-05,Cargo,1
22,Tanjung Pelepas Port,2020-06-20,Cargo,3
23,Tanjung Pelepas Port,2020-06-22,Cargo,2
24,Tanjung Pelepas Port,2020-06-02,Tanker,2
25,Tanjung Pelepas Port,2020-06-15,Cargo,1
26,Tanjung Pelepas Port,2020-06-01,Cargo,5
27,Tanjung Pelepas Port,2020-06-16,Tanker,4
28,Tanjung Pelepas Port,2020-06-13,Tanker,3
29,Tanjung Pelepas Port,2020-06-03,Tanker,2
30,Tanjung Pelepas Port,2020-06-02,Cargo,6
31,Tanjung Pelepas Port,2020-06-05,Tanker,4
32,Tanjung Pelepas Port,2020-06-18,Tanker,1
33,Tanjung Pelepas Port,2020-06-25,Cargo,2
34,Tanjung Pelepas Port,2020-06-21,Cargo,3
35,Tanjung Pelepas Port,2020-06-20,Tanker,4
36,Tanjung Pelepas Port,2020-06-15,Tanker,3
37,Tanjung Pelepas Port,2020-06-17,Tanker,3
38,Tanjung Pelepas Port,2020-06-19,Cargo,3
39,Tanjung Pelepas Port,2020-06-11,Tanker,1
40,Tanjung Pelepas Port,2020-06-07,Tanker,3
41,Tanjung Pelepas Port,2020-06-14,Cargo,4
42,Tanjung Pelepas Port,2020-06-16,Cargo,2
43,Tanjung Pelepas Port,2020-06-06,Tanker,6
44,Tanjung Pelepas Port,2020-06-22,Tanker,2
45,Tanjung Pelepas Port,2020-06-26,Tanker,3
46,Tanjung Pelepas Port,2020-06-06,Cargo,3
47,Tanjung Pelepas Port,2020-06-12,Cargo,3
48,Tanjung Pelepas Port,2020-06-08,Cargo,4
49,Tanjung Pelepas Port,2020-06-26,Cargo,3
50,Tanjung Pelepas Port,2020-06-17,Cargo,2
51,Tanjung Pelepas Port,2020-06-10,Tanker,2
52,Tanjung Pelepas Port,2020-06-11,Cargo,5
53,Tanjung Pelepas Port,2020-06-30,Cargo,3
54,Tanjung Pelepas Port,2020-06-18,Cargo,2
55,Tanjung Pelepas Port,2020-06-27,Cargo,2
56,Tanjung Pelepas Port,2020-06-24,Tanker,3
57,Tanjung Pelepas Port,2020-06-28,Cargo,3
