,geo_name,date,vessel_type,num_ships
0,Port Klang,2020-11-07,Tanker,2
1,Port Klang,2020-11-10,Tanker,2
2,Port Klang,2020-11-26,Cargo,3
3,Port Klang,2020-11-02,Cargo,1
4,Port Klang,2020-11-14,Tanker,2
5,Port Klang,2020-11-16,Tanker,2
6,Port Klang,2020-11-11,Cargo,5
7,Port Klang,2020-11-17,Tanker,1
8,Port Klang,2020-11-22,Cargo,3
9,Port Klang,2020-11-14,Cargo,1
10,Port Klang,2020-11-19,Tanker,1
11,Port Klang,2020-11-08,Cargo,1
12,Port Klang,2020-11-27,Cargo,1
13,Port Klang,2020-11-11,Tanker,2
14,Port Klang,2020-11-03,Tanker,1
15,Port Klang,2020-11-25,Cargo,2
16,Port Klang,2020-11-15,Cargo,2
17,Port Klang,2020-11-12,Cargo,2
18,Port Klang,2020-11-23,Cargo,2
19,Port Klang,2020-11-08,Tanker,3
20,Port Klang,2020-11-24,Tanker,1
21,Port Klang,2020-11-13,Tanker,1
22,Port Klang,2020-11-25,Tanker,6
23,Port Klang,2020-11-01,Tanker,1
24,Port Klang,2020-11-28,Tanker,5
25,Port Klang,2020-11-20,Cargo,2
26,Port Klang,2020-11-17,Cargo,1
27,Port Klang,2020-11-27,Tanker,2
28,Port Klang,2020-11-13,Cargo,5
29,Port Klang,2020-11-12,Tanker,1
30,Port Klang,2020-11-22,Tanker,3
31,Port Klang,2020-11-26,Tanker,1
32,Port Klang,2020-11-21,Tanker,1
33,Port Klang,2020-11-10,Cargo,1
34,Port Klang,2020-11-20,Tanker,1
35,Port Klang,2020-11-07,Cargo,4
36,Port Klang,2020-11-15,Tanker,5
37,Port Klang,2020-11-28,Cargo,3
38,Port Klang,2020-11-23,Tanker,2
39,Port Klang,2020-11-16,Cargo,2
