,geo_name,date,vessel_type,num_ships
0,Tanjung Pelepas Port,2020-11-21,Cargo,8
1,Tanjung Pelepas Port,2020-11-11,Cargo,10
2,Tanjung Pelepas Port,2020-11-27,Tanker,4
3,Tanjung Pelepas Port,2020-11-12,Tanker,7
4,Tanjung Pelepas Port,2020-11-01,Cargo,3
5,Tanjung Pelepas Port,2020-11-28,Cargo,3
6,Tanjung Pelepas Port,2020-11-17,Tanker,8
7,Tanjung Pelepas Port,2020-11-09,Cargo,4
8,Tanjung Pelepas Port,2020-11-07,Tanker,5
9,Tanjung Pelepas Port,2020-11-28,Tanker,4
10,Tanjung Pelepas Port,2020-11-25,Cargo,6
11,Tanjung Pelepas Port,2020-11-10,Cargo,9
12,Tanjung Pelepas Port,2020-11-26,Tanker,4
13,Tanjung Pelepas Port,2020-11-17,Cargo,11
14,Tanjung Pelepas Port,2020-11-08,Tanker,3
15,Tanjung Pelepas Port,2020-11-08,Cargo,7
16,Tanjung Pelepas Port,2020-11-16,Tanker,9
17,Tanjung Pelepas Port,2020-11-06,Cargo,11
18,Tanjung Pelepas Port,2020-11-15,Cargo,10
19,Tanjung Pelepas Port,2020-11-19,Tanker,10
20,Tanjung Pelepas Port,2020-11-29,Cargo,3
21,Tanjung Pelepas Port,2020-11-03,Cargo,9
22,Tanjung Pelepas Port,2020-11-25,Tanker,4
23,Tanjung Pelepas Port,2020-11-24,Tanker,7
24,Tanjung Pelepas Port,2020-11-12,Cargo,13
25,Tanjung Pelepas Port,2020-11-13,Cargo,13
26,Tanjung Pelepas Port,2020-11-22,Tanker,10
27,Tanjung Pelepas Port,2020-11-15,Tanker,6
28,Tanjung Pelepas Port,2020-11-03,Tanker,7
29,Tanjung Pelepas Port,2020-11-23,Tanker,10
30,Tanjung Pelepas Port,2020-11-02,Tanker,8
31,Tanjung Pelepas Port,2020-11-21,Tanker,6
32,Tanjung Pelepas Port,2020-11-14,Tanker,6
33,Tanjung Pelepas Port,2020-11-18,Tanker,5
34,Tanjung Pelepas Port,2020-11-27,Cargo,3
35,Tanjung Pelepas Port,2020-11-10,Tanker,6
36,Tanjung Pelepas Port,2020-11-26,Cargo,6
37,Tanjung Pelepas Port,2020-11-07,Cargo,7
38,Tanjung Pelepas Port,2020-11-01,Tanker,7
39,Tanjung Pelepas Port,2020-11-20,Cargo,11
40,Tanjung Pelepas Port,2020-11-11,Tanker,6
41,Tanjung Pelepas Port,2020-11-05,Tanker,4
42,Tanjung Pelepas Port,2020-11-04,Cargo,15
43,Tanjung Pelepas Port,2020-11-05,Cargo,6
44,Tanjung Pelepas Port,2020-11-22,Cargo,9
45,Tanjung Pelepas Port,2020-11-19,Cargo,8
46,Tanjung Pelepas Port,2020-11-30,Tanker,2
47,Tanjung Pelepas Port,2020-11-14,Cargo,14
48,Tanjung Pelepas Port,2020-11-04,Tanker,6
49,Tanjung Pelepas Port,2020-11-16,Cargo,11
50,Tanjung Pelepas Port,2020-11-09,Tanker,9
51,Tanjung Pelepas Port,2020-11-02,Cargo,8
52,Tanjung Pelepas Port,2020-11-20,Tanker,6
53,Tanjung Pelepas Port,2020-11-23,Cargo,6
54,Tanjung Pelepas Port,2020-11-24,Cargo,8
55,Tanjung Pelepas Port,2020-11-30,Cargo,2
56,Tanjung Pelepas Port,2020-11-06,Tanker,6
57,Tanjung Pelepas Port,2020-11-13,Tanker,9
58,Tanjung Pelepas Port,2020-11-18,Cargo,6
