,geo_name,date,vessel_type,num_ships
0,Tanjung Pelepas Port,2020-02-28,Tanker,4
1,Tanjung Pelepas Port,2020-02-04,Tanker,6
2,Tanjung Pelepas Port,2020-02-07,Cargo,5
3,Tanjung Pelepas Port,2020-02-20,Cargo,3
4,Tanjung Pelepas Port,2020-02-21,Tanker,1
5,Tanjung Pelepas Port,2020-02-13,Tanker,2
6,Tanjung Pelepas Port,2020-02-27,Tanker,6
7,Tanjung Pelepas Port,2020-02-24,Cargo,2
8,Tanjung Pelepas Port,2020-02-14,Cargo,6
9,Tanjung Pelepas Port,2020-02-29,Cargo,6
10,Tanjung Pelepas Port,2020-02-14,Tanker,3
11,Tanjung Pelepas Port,2020-02-24,Tanker,2
12,Tanjung Pelepas Port,2020-02-15,Cargo,2
13,Tanjung Pelepas Port,2020-02-25,Cargo,4
14,Tanjung Pelepas Port,2020-02-29,Tanker,4
15,Tanjung Pelepas Port,2020-02-11,Tanker,11
16,Tanjung Pelepas Port,2020-02-08,Cargo,9
17,Tanjung Pelepas Port,2020-02-11,Cargo,9
18,Tanjung Pelepas Port,2020-02-19,Tanker,1
19,Tanjung Pelepas Port,2020-02-04,Cargo,8
20,Tanjung Pelepas Port,2020-02-03,Tanker,4
21,Tanjung Pelepas Port,2020-02-16,Cargo,4
22,Tanjung Pelepas Port,2020-02-27,Cargo,5
23,Tanjung Pelepas Port,2020-02-21,Cargo,4
24,Tanjung Pelepas Port,2020-02-10,Tanker,6
25,Tanjung Pelepas Port,2020-02-22,Cargo,4
26,Tanjung Pelepas Port,2020-02-23,Cargo,4
27,Tanjung Pelepas Port,2020-02-02,Cargo,9
28,Tanjung Pelepas Port,2020-02-10,Cargo,7
29,Tanjung Pelepas Port,2020-02-16,Tanker,1
30,Tanjung Pelepas Port,2020-02-01,Tanker,7
31,Tanjung Pelepas Port,2020-02-23,Tanker,1
32,Tanjung Pelepas Port,2020-02-15,Tanker,2
33,Tanjung Pelepas Port,2020-02-05,Cargo,8
34,Tanjung Pelepas Port,2020-02-08,Tanker,9
35,Tanjung Pelepas Port,2020-02-19,Cargo,3
36,Tanjung Pelepas Port,2020-02-09,Tanker,13
37,Tanjung Pelepas Port,2020-02-03,Cargo,8
38,Tanjung Pelepas Port,2020-02-17,Cargo,4
39,Tanjung Pelepas Port,2020-02-26,Tanker,4
40,Tanjung Pelepas Port,2020-02-09,Cargo,9
41,Tanjung Pelepas Port,2020-02-02,Tanker,8
42,Tanjung Pelepas Port,2020-02-17,Tanker,1
43,Tanjung Pelepas Port,2020-02-26,Cargo,1
44,Tanjung Pelepas Port,2020-02-13,Cargo,9
45,Tanjung Pelepas Port,2020-02-07,Tanker,5
46,Tanjung Pelepas Port,2020-02-20,Tanker,1
47,Tanjung Pelepas Port,2020-02-06,Tanker,7
48,Tanjung Pelepas Port,2020-02-12,Tanker,4
49,Tanjung Pelepas Port,2020-02-28,Cargo,6
50,Tanjung Pelepas Port,2020-02-01,Cargo,7
51,Tanjung Pelepas Port,2020-02-05,Tanker,4
52,Tanjung Pelepas Port,2020-02-12,Cargo,7
53,Tanjung Pelepas Port,2020-02-18,Cargo,1
54,Tanjung Pelepas Port,2020-02-06,Cargo,5
